bgrp,SUM_HOUSIN,SUM_POP10,under_1,under_1pct,under_13,under_13pc,over_70,over_70pct,NonWhite,NonWt_Pct,PLx2_Pop,PLx2_Pct
420031405003,407.0,722.0,11,1.52355003357,72,9.97229957581,67,9.27978038788,358.0,49.5844875346,207.0,27.9352226721
420031406001,592.0,1261.0,13,1.03093004227,185,14.6709003448,152,12.053899765,120.0,9.51625693894,256.0,18.4438040346
420031406002,352.0,772.0,5,0.647668004036,124,16.0622005463,61,7.90154981613,137.0,17.7461139896,105.0,13.5309278351
420031406003,546.0,969.0,11,1.13519001007,113,11.6614999771,49,5.05675983429,158.0,16.3054695562,359.0,36.7451381781
420031408001,854.0,1929.0,28,1.45152997971,336,17.4183998108,144,7.46501016617,321.0,16.6407465008,488.0,23.7816764133
420031408002,783.0,1781.0,24,1.3475600481,274,15.3845996857,123,6.90622997284,374.0,20.9994385177,487.0,29.0226460072
420031408003,443.0,844.0,17,2.01421999931,107,12.6777000427,139,16.4692001343,145.0,17.1800947867,389.0,49.3654822335
420031410001,479.0,928.0,12,1.29309999943,123,13.2543001175,90,9.69828033447,83.0,8.94396551724,106.0,11.2169312169
420031411001,625.0,1361.0,22,1.61645996571,215,15.7972002029,180,13.2256002426,162.0,11.9030124908,209.0,15.4016212233
420031413001,692.0,1516.0,20,1.31926000118,188,12.4011001587,307,20.2506999969,220.0,14.5118733509,343.0,23.4610123119
420031413002,820.0,1567.0,29,1.85066998005,194,12.3802995682,82,5.23293018341,439.0,28.0153158902,529.0,40.4434250765
420031413003,1062.0,2094.0,18,0.859598994255,137,6.54250001907,348,16.6189002991,575.0,27.4594078319,593.0,35.255648038
420031414001,475.0,1002.0,10,0.99800401926,129,12.8743000031,88,8.78244018555,157.0,15.6686626747,37.0,3.58527131783
420031414002,285.0,683.0,8,1.1713000536,112,16.3981990814,54,7.9063000679,90.0,13.17715959,123.0,18.0351906158
420031414003,445.0,988.0,9,0.910930991173,128,12.955499649,80,8.0971698761,151.0,15.2834008097,67.0,7.77262180974
420031414004,999.0,1712.0,18,1.05139994621,183,10.6892995834,559,32.6519012451,339.0,19.8014018692,374.0,40.9638554217
420031414005,639.0,966.0,8,0.828157007694,53,5.4865398407,99,10.2483997345,236.0,24.4306418219,331.0,36.4136413641
420031516001,579.0,1140.0,9,0.789474010468,138,12.1052999496,134,11.7544002533,102.0,8.94736842105,227.0,18.4703010578
420031516002,430.0,709.0,8,1.12835001945,64,9.02680015564,105,14.8095998764,85.0,11.9887165021,442.0,42.1353670162
420031516003,239.0,514.0,4,0.778209984303,66,12.8404998779,55,10.7004003525,35.0,6.8093385214,82.0,26.9736842105
420031517001,482.0,932.0,23,2.46780991554,95,10.1930999756,88,9.44206047058,177.0,18.991416309,216.0,25.0871080139
420031517002,350.0,635.0,8,1.2598400116,68,10.7087001801,65,10.2362003326,116.0,18.2677165354,59.0,14.4607843137
420031517003,401.0,743.0,9,1.21131002903,89,11.9785003662,95,12.7860002518,116.0,15.6123822342,225.0,29.8804780876
420031517004,310.0,618.0,3,0.485437005758,62,10.0324001312,74,11.9741001129,50.0,8.09061488673,73.0,8.59835100118
